id,mssv, lopsh, hocky, namhoc, drl, ghichu
118,952C9BD7XPvAibaEXe9hPQQhQOOPyVKuFZF5BlyS, CNTT2013,2,2013,73, NULL
119,E997D336XPvAibaEXe+cD1fKElqxL3Gg+IEXlrlL, CNTT2013,2,2013,54, NULL
120,D06A6062XPvAibaEXe+lo6eJkHWaQfW61NRig7M4, CNTT2013,2,2013,77, NULL
121,5032DD33XPvAibaEXe9X5bpEKoa0mil88XvSiR4r, CNTT2013,2,2013,100, NULL
122,0D5F945EXPvAibaEXe8CKeIX0ksEeMKbwIdrC9sO, CNTT2013,2,2013,98, NULL
123,741BAEACXPvAibaEXe80gGmWuNekT1wC4lREx8CX, CNTT2013,2,2013,100, NULL
124,3509A991XPvAibaEXe80gGmWuNekT+evWuZt6lQJ, CNTT2013,2,2013,64, NULL
125,694330BCXPvAibaEXe83EtiN4MI2ngvW488wCP/k, CNTT2013,2,2013,59, NULL
126,A7930FD4XPvAibaEXe86736b6Ol+/NWYAIVhPTcM, CNTT2013,2,2013,49, NULL
127,E5E0D43FXPvAibaEXe8/3iNqySORb3L2iR3l7H2W, CNTT2013,2,2013,70, NULL
128,F94DE2CDXPvAibaEXe+yU1j0ocViqVVrG08BKChW, CNTT2013,2,2013,85, NULL
129,02C4644FXPvAibaEXe+wmtNhlfgIwhu0VSXU3tYN, CNTT2013,2,2013,87, NULL
130,C06D6804XPvAibaEXe/lOccskaOiOzn1wuEhQE1s, CNTT2013,2,2013,72, NULL
131,2049E34DXPvAibaEXe83V/kFvw2bBSM6MmPn3kn9, CNTT2013,2,2013,99, NULL
132,B646C3C8XPvAibaEXe83V/kFvw2bBVmhVT6fEz4k, CNTT2013,2,2013,100, NULL
133,1D74C87FXPvAibaEXe8Y+/3uR2PkTKeFWIOEfKn0, CNTT2013,2,2013,59, NULL
134,C1306640XPvAibaEXe+nZBq3b0XEhX/oZbtzk5F7, CNTT2013,2,2013,54, NULL
135,2BBA5161XPvAibaEXe9jjgNhrmbJFKH/Y5P5JUkY, CNTT2013,2,2013,73, NULL
136,2BD8ACBAXPvAibaEXe9fafwYRU+Nps7TCCT3LRtV, CNTT2013,2,2013,69, NULL
137,DAC3737AXPvAibaEXe/XBbLEWRhgQZ1rzDrlZrgy, CNTT2013,2,2013,76, NULL
138,90DB40EBXPvAibaEXe8VekUw4ELehq65j34D9PkS, CNTT2013,2,2013,100, NULL
139,25AF24E3XPvAibaEXe+/EkvXK98KbWSdx1OCHSTZ, CNTT2013,2,2013,69, NULL
140,291A2F59XPvAibaEXe9JDlHA4z2GHNI7amxrOxT7, CNTT2013,2,2013,54, NULL
141,329B4DBFXPvAibaEXe9JDlHA4z2GHEkrdKZ3K2N4, CNTT2013,2,2013,63, NULL
142,D42204FAXPvAibaEXe9JDlHA4z2GHKwE3JWl7+uT, CNTT2013,2,2013,86, NULL
143,0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH, CNTT2013,2,2013,78, NULL
144,E92C604FXPvAibaEXe+TFgEDwYNnvUQ2ahxW4uwh, CNTT2013,2,2013,83, NULL
145,09D81761XPvAibaEXe8ydgsBCmjqA/3YAY3pxZOP, CNTT2013,2,2013,60, NULL
146,48FC82A9XPvAibaEXe/zHDidEgqCTpNgD2sEaeIC, CNTT2013,2,2013,52, NULL
147,BC4D7362XPvAibaEXe/zHDidEgqCTtuOJqWtyJVx, CNTT2013,2,2013,91, NULL
148,BB1A9EF5XPvAibaEXe/uH+ehSKMSjQysGck5FHrj, CNTT2013,2,2013,86, NULL
149,711FA2AFXPvAibaEXe9upvU5DvuC9kwCJjs/GO5v, CNTT2013,2,2013,76, NULL
150,F5D3066AXPvAibaEXe+Z7KfNHYLttKYcmiFpwREK, CNTT2013,2,2013,67, NULL
151,AF12AD92XPvAibaEXe/X/wixypGyAooCMIgpNDia, CNTT2013,2,2013,67, NULL
152,D909979EXPvAibaEXe9aucNQ7/14aG8bgPx7zSHB, CNTT2013,2,2013,49, NULL
153,EB088421XPvAibaEXe9aucNQ7/14aMv4g9KsRfJR, CNTT2013,2,2013,100, NULL
154,535EE7D3XPvAibaEXe9/su+qLcYDMqV4B2iJU0yP, CNTT2013,2,2013,74, NULL
155,55B2C91AXPvAibaEXe/Bn5cQSu92WVyl6Ie3DRnz, CNTT2013,2,2013,71, NULL
156,A51F3DE3XPvAibaEXe/Xn8KZjn44cQKIn5UAq1YD, CNTT2013,2,2013,92, NULL
157,9CB66503XPvAibaEXe9E+KuE/nFliVHlSAEdjpcv, CNTT2013,2,2013,76, NULL
158,586F0A4CXPvAibaEXe+LLvbxzunmJL51nTie4Ve7, CNTT2013,2,2013,84, NULL
159,68E760BFXPvAibaEXe8ooYk4mkUGmPtFJ8yRjfYR, CNTT2013,2,2013,83, NULL
160,DEE53B1AXPvAibaEXe+vL6q6thZ0Nu5juVpB1ljH, CNTT2013,2,2013,70, NULL
161,4DE94F90XPvAibaEXe8wMpKQnQ7j6HMlGtDAS6Rl, CNTT2013,2,2013,64, NULL
162,76BBD44BXPvAibaEXe99GOtI/HwJhfnsANkwbGH8, CNTT2013,2,2013,77, NULL
163,534F880CXPvAibaEXe/caEx4rNa5qYi8oannUiVw, CNTT2013,2,2013,100, NULL
164,62464061XPvAibaEXe/FejQN8/S5fFT8yNMVC8wh, CNTT2013,2,2013,80, NULL
165,3899D7EDXPvAibaEXe9eSUilQ3V71guQIuvMMION, CNTT2013,2,2013,78, NULL
166,B0525999XPvAibaEXe9HKUC7sboLjjyMHONwQw00, CNTT2013,2,2013,49, NULL
167,DD22FD9BXPvAibaEXe9HKUC7sboLjtGPEGhD7PPu, CNTT2013,2,2013,100, NULL
